 Asghar Afghan
 Dawlat Ahmadzai
 Hamid Hassan
 Hasti Gul
 Karim Sadiq
 Khaleqdaad Noori
 Mohammad Nabi
 Nawroz Mangal
 Noor Ali Zadran
 Raees Ahmadzai
 Samiullah Shenwari
 Ahmed Shah
 Mirwais Ashraf
 Mohammad Shahzad
 Shapoor Zadran
 Shafiqullah
 Aftab Alam
 Shabir Noori
 Javed Ahmadi
 Noor-ul-Haq
 Abdullah Mazari
 Izatullah Dawlatzai
 Dawlat Zadran
 Gulbadin Naib
 Amir Hamza
 Zakiullah Zaki
 Najibullah Zadran
 Mohibullah Oryakhel
 Rahmat Shah
 Hashmatullah Shahidi
 Usman Ghani
 Sharafuddin Ashraf
 Nasir Jamal
 Afsar Zazai
 Fareed Ahmad
 Rashid Khan
 Yamin Ahmadzai
 Rokhan Barakzai
 Naveen-ul-Haq
 Ihsanullah
 Karim Janat
 Najeeb Tarakai
 Mujeeb Ur Rahman
 Hazratullah Zazai
 Ikram Ali Khil
 Sayed Shirzad
 Zahir Khan
